Time,Temp_Mean,Temp_Deviation,Temp_Variance,Humid_Mean,Humid_Deviation,Humid_Variance,Gas_Mean,Gas_Deviation,Gas_Variance
0,22.6,0.49,0.24,63.76,0.92,0.85,18.84,0.52,0.27
1,22.44,0.57,0.32,63.28,0.9,0.8,18.8,0.59,0.35
2,22.14,0.6,0.37,63.39,0.89,0.79,19.19,0.78,0.61
3,22.02,0.82,0.68,63.31,0.89,0.8,19.03,0.72,0.52
4,21.86,0.86,0.74,63.95,0.96,0.93,19.04,0.63,0.4
5,21.65,0.8,0.63,62.57,1.04,1.08,20.53,0.27,0.07
6,21.46,0.76,0.58,62.7,1.11,1.23,20.46,0.25,0.06
7,21.3,0.86,0.75,62.66,0.77,0.59,20.39,0.28,0.08
8,21.1,0.88,0.77,62.81,1.05,1.1,20.46,0.22,0.05
9,21.33,1.11,1.23,62.12,0.81,0.66,20.57,0.27,0.07
10,21.81,1.56,2.43,64.56,1.37,1.87,22.63,0.93,0.87
11,22.16,1.45,2.11,65.15,1.9,3.62,22.46,0.96,0.93
12,22.62,1.57,2.47,66.37,2.0,3.98,22.6,0.94,0.88
13,23.08,1.61,2.59,65.55,1.96,3.83,22.75,0.93,0.86
14,23.53,1.87,3.49,66.54,1.63,2.65,21.94,0.93,0.86
15,23.82,1.91,3.64,67.09,2.06,4.24,21.57,0.76,0.58
16,24.25,1.27,1.6,66.58,2.09,4.38,21.65,0.9,0.81
17,24.36,1.23,1.5,66.26,2.34,5.46,22.11,0.88,0.78
18,24.17,1.27,1.61,65.74,2.03,4.14,20.93,0.77,0.6
19,23.81,1.2,1.43,66.55,2.34,5.5,21.72,0.76,0.57
20,23.55,1.09,1.2,67.01,2.56,6.53,21.35,1.03,1.07
21,23.32,0.95,0.9,64.95,2.13,4.55,18.37,0.74,0.54
22,23.09,0.75,0.56,64.53,1.97,3.86,18.63,0.44,0.2
23,22.83,0.68,0.46,65.26,1.43,2.04,18.16,0.9,0.8
